"graph",ID,"omega","integrated_populations","integrated_coherences","final_sink_pop","time","t2_population" ,simulation_time
isomorphic_graphs/5.mtx,5,0,198.497879362266,401.177959692984,0.999999999999982,16213.9892578125,0.999999999999983,35000
isomorphic_graphs/1.mtx,1,0,93.9978418808558,196.378817681408,1.00000000000002,5022.27783203125,1.00000000000002,35000
isomorphic_graphs/8.mtx,8,0,75.6623317876793,153.929141803613,0.99999999999998,4104.76684570313,0.99999999999998,35000
isomorphic_graphs/10.mtx,10,0,53.5834324631135,92.9597738682895,0.999999999999972,9170.30334472656,0.999999999999972,35000
isomorphic_graphs/22.mtx,22,0,219.361148809288,371.310902135595,0.999999999999993,8566.81823730469,0.999999999999993,35000
isomorphic_graphs/28.mtx,28,0,57.831726280902,91.3782272355249,0.999999999999997,9159.08813476563,0.999999999999998,35000
isomorphic_graphs/25.mtx,25,0,355.666116824412,616.008627058029,0.999999999999984,12782.1350097656,0.999999999999984,35000
isomorphic_graphs/29.mtx,29,0,43.2483798935525,69.464408302479,0.999999999999997,2204.05578613281,0.999999999999997,35000
isomorphic_graphs/26.mtx,26,0,276.494066105698,400.865570758019,0.999999998189466,34880.37109375,0.99999999999995,35000
isomorphic_graphs/16.mtx,16,0,575.31122450348,1014.17344195564,0.714285714285627,171.9970703125,0.999999999999913,2000
isomorphic_graphs/32.mtx,32,0,1002.62500006529,2068.22725106273,0.499999999999905,177.734375,0.999999999999875,2000
isomorphic_graphs/12.mtx,12,0,9.3317307111827,21.2101046943533,0.999999999999983,331.4208984375,0.999999999999983,2000
isomorphic_graphs/19.mtx,19,0,1006.25000002511,1158.83574921743,0.500000000000037,378.0517578125,1.00000000000004,2000
isomorphic_graphs/24.mtx,24,0,1006.25000002512,1282.04142374371,0.499999999999991,378.0517578125,0.999999999999989,2000
isomorphic_graphs/30.mtx,30,0,1005.3750000219,1277.89327349949,0.500000000000004,437.744140625,1,2000
isomorphic_graphs/3.mtx,3,0,1007.56249994328,546.959493450295,0.500000000000012,496.9482421875,1,2000
isomorphic_graphs/11.mtx,11,0,1008.67361117216,553.199354719451,0.499999999999998,680.908203125,0.999999999999997,2000
isomorphic_graphs/23.mtx,23,0,1008.37499993121,558.778294771538,0.500000000000007,820.4345703125,1.00000000000001,2000
isomorphic_graphs/9.mtx,9,0,23.3125000714058,46.8641696542737,0.999999999999973,831.54296875,1,2000
isomorphic_graphs/2.mtx,2,0,15.2777776683203,33.8988512584277,1.00000000000002,836.0595703125,1.00000000000002,2000
isomorphic_graphs/20.mtx,20,0,1006.71527785273,553.11839741688,0.500000000000035,879.150390625,1.00000000000003,2000
isomorphic_graphs/14.mtx,14,0,28.0000000918438,51.4321264576795,1.00000000000001,934.2041015625,0.999999999999996,2000
isomorphic_graphs/21.mtx,21,0,32.7500002806158,62.1349668063951,0.999999999999959,1010.25390625,0.999999999999964,2000
isomorphic_graphs/13.mtx,13,0,1006.24999995478,553.897782273337,0.49999999999998,1048.828125,0.999999999999976,2000
isomorphic_graphs/6.mtx,6,0,1010.37500004905,579.527662544479,0.500000000000013,1125.244140625,1.00000000000002,2000
isomorphic_graphs/18.mtx,18,0,17.5277778087062,38.7324250921376,0.999999999999977,1369.873046875,0.99999999999999,2000
isomorphic_graphs/15.mtx,15,0,28.7499999767313,62.1460414794936,0.999999999999662,1588.5009765625,0.999999999999977,2000
isomorphic_graphs/17.mtx,17,0,33.6000000563202,66.5135244283395,0.999999999999683,1615.3564453125,1.00000000000003,2000
isomorphic_graphs/27.mtx,27,0,47.0000006193437,95.8259598013409,0.999999999999596,1642.9443359375,1.0000000000001,2000
isomorphic_graphs/7.mtx,7,0,1339.47222217774,1193.1794615617,0.333333333326098,1774.5361328125,0.99999999999999,2000
isomorphic_graphs/4.mtx,4,0,42.444444401233,88.3801318109498,0.999999999980952,1862.1826171875,0.999999999999999,2000
isomorphic_graphs/31.mtx,31,0,1015.50000002315,1377.75630773779,0.49999999994506,1951.66015625,1.00000000000005,2000
isomorphic_graphs/12.mtx,12,0.01,9.45504577011423,16.3555529770288,1.00000000000001,270.8740234375,1.00000000000001,2000
isomorphic_graphs/2.mtx,2,0.01,13.000480586398,21.7036663727368,1.00000000000007,463.2568359375,1.00000000000007,2000
isomorphic_graphs/18.mtx,18,0.01,16.7686638403564,26.0562523460282,1.00000000000001,516.4794921875,1.00000000000001,2000
isomorphic_graphs/15.mtx,15,0.01,19.245932029231,29.0203564625212,0.999999999999994,633.4228515625,0.999999999999994,2000
isomorphic_graphs/17.mtx,17,0.01,19.3617309690717,29.7390651570274,0.999999999999985,694.091796875,0.999999999999985,2000
isomorphic_graphs/4.mtx,4,0.01,23.6897845349325,35.8304726240061,0.999999999999999,770.8740234375,0.999999999999999,2000
isomorphic_graphs/8.mtx,8,0.01,32.5480830118335,41.3183871360493,0.999999999999979,963.9892578125,0.999999999999979,2000
isomorphic_graphs/6.mtx,6,0.01,38.949636683984,36.669487233571,0.999999999999993,996.58203125,0.999999999999993,2000
isomorphic_graphs/21.mtx,21,0.01,28.1904757818426,28.0778265537867,1.00000000000007,1000.244140625,1.00000000000007,2000
isomorphic_graphs/1.mtx,1,0.01,25.7014368033464,33.0397769490302,1.00000000000001,1004.39453125,1.00000000000001,2000
isomorphic_graphs/5.mtx,5,0.01,19.5045403552779,31.4779274628304,0.999999999999993,1006.34765625,0.999999999999993,2000
isomorphic_graphs/25.mtx,25,0.01,39.8217369014263,47.5001427538024,1,1007.6904296875,1,2000
