graph, omega, integrated_populations, integrated_coherences, final_sink_pop, time, t2_population 
isomorphic_graphs/20.mtx, 0.0, 1006.7152778527272, 553.1183974168799, 0.5000000000000353, 879.150390625, 1.0000000000000346
isomorphic_graphs/20.mtx, 0.01, 54.066656364949544, 43.99757964786881, 0.9999999999991023, 1679.8095703125, 1.0000000000000155
isomorphic_graphs/20.mtx, 0.02, 36.51423356431207, 28.24934915787151, 0.9999999999999932, 960.693359375, 0.9999999999999932
isomorphic_graphs/20.mtx, 0.03, 30.751480065464946, 21.822568158011045, 1.0000000000000113, 733.88671875, 1.0000000000000113
isomorphic_graphs/20.mtx, 0.04, 28.020300609410263, 18.151793516697783, 0.9999999999999981, 633.1787109375, 0.9999999999999981
isomorphic_graphs/20.mtx, 0.05, 26.519910359657775, 15.72190773408696, 1.0000000000000238, 581.54296875, 1.0000000000000238
isomorphic_graphs/20.mtx, 0.06, 25.63606450816526, 13.972360487541875, 0.9999999999999984, 553.1005859375, 0.9999999999999984
isomorphic_graphs/20.mtx, 0.07, 25.099687309889042, 12.64117604244647, 0.9999999999999899, 536.7431640625, 0.9999999999999899
isomorphic_graphs/20.mtx, 0.08, 24.773337853391094, 11.584786834343635, 0.9999999999999996, 527.34375, 0.9999999999999996
isomorphic_graphs/20.mtx, 0.09, 24.579127419852252, 10.721395768095888, 0.9999999999999983, 522.0947265625, 0.9999999999999983
isomorphic_graphs/20.mtx, 0.1, 24.46955002036676, 9.993230521981415, 0.9999999999999811, 519.4091796875, 0.9999999999999811
isomorphic_graphs/20.mtx, 0.11, 24.41406845643681, 9.365429314885409, 0.9999999999999987, 518.1884765625, 0.9999999999999987
isomorphic_graphs/20.mtx, 0.12, 24.392320465909954, 8.81453615144968, 0.9999999999999889, 518.1884765625, 0.9999999999999889
isomorphic_graphs/20.mtx, 0.13, 24.390402383517408, 8.324958529492047, 1.0000000000000095, 518.4326171875, 1.0000000000000095
isomorphic_graphs/20.mtx, 0.14, 24.39870108135229, 7.884865163087554, 1.000000000000015, 519.1650390625, 1.000000000000015
isomorphic_graphs/20.mtx, 0.15, 24.41055659904723, 7.485563003767875, 1.0000000000000133, 519.8974609375, 1.0000000000000133
isomorphic_graphs/20.mtx, 0.16, 24.42139568922677, 7.119286214365398, 0.9999999999999908, 520.751953125, 0.9999999999999908
isomorphic_graphs/20.mtx, 0.17, 24.42814597003832, 6.780229499824062, 0.9999999999999934, 521.484375, 0.9999999999999934
isomorphic_graphs/20.mtx, 0.18, 24.428825368584683, 6.464637558502533, 1.000000000000003, 521.97265625, 1.000000000000003
isomorphic_graphs/20.mtx, 0.19, 24.422246143047488, 6.169251130397659, 1.0000000000000044, 522.3388671875, 1.0000000000000044
isomorphic_graphs/20.mtx, 0.2, 24.40779704416023, 5.891293623091414, 0.9999999999999919, 522.4609375, 0.9999999999999919
isomorphic_graphs/20.mtx, 0.21, 24.385280799618695, 5.6285520924956005, 1.0000000000000069, 522.4609375, 1.0000000000000069
isomorphic_graphs/20.mtx, 0.22, 24.354791982641867, 5.3794686069514785, 0.9999999999999991, 522.216796875, 0.9999999999999991
isomorphic_graphs/20.mtx, 0.23, 24.31662503620433, 5.142895592864214, 0.9999999999999997, 521.728515625, 0.9999999999999997
isomorphic_graphs/20.mtx, 0.24, 24.27120515668728, 4.917723610806606, 1.0000000000000042, 521.1181640625, 1.0000000000000042
isomorphic_graphs/20.mtx, 0.25, 24.21903665475349, 4.70279436026082, 0.9999999999999867, 520.3857421875, 0.9999999999999867
isomorphic_graphs/20.mtx, 0.26, 24.160664725686665, 4.497230948856179, 0.9999999999999939, 519.53125, 0.9999999999999939
isomorphic_graphs/20.mtx, 0.27, 24.096647508071957, 4.300377705808318, 0.9999999999999928, 518.310546875, 0.9999999999999928
isomorphic_graphs/20.mtx, 0.28, 24.027536018038454, 4.111706722542391, 0.9999999999999993, 517.2119140625, 0.9999999999999993
isomorphic_graphs/20.mtx, 0.29, 23.95386009022052, 3.9307784595120423, 0.9999999999999993, 515.9912109375, 0.9999999999999993
isomorphic_graphs/20.mtx, 0.3, 23.876118880289763, 3.7572153753836535, 0.9999999999999912, 514.5263671875, 0.9999999999999912
isomorphic_graphs/20.mtx, 0.31, 23.79477481547242, 3.5906841952784125, 1.0000000000000064, 513.0615234375, 1.0000000000000064
isomorphic_graphs/20.mtx, 0.32, 23.710250138507433, 3.430883843712757, 0.9999999999999994, 511.474609375, 0.9999999999999994
isomorphic_graphs/20.mtx, 0.33, 23.622925391709416, 3.2775372125818847, 0.9999999999999944, 509.8876953125, 0.9999999999999944
isomorphic_graphs/20.mtx, 0.34, 23.533139342857208, 3.130385551654831, 1.000000000000005, 508.1787109375, 1.000000000000005
isomorphic_graphs/20.mtx, 0.35000000000000003, 23.44118997314596, 2.989184663129041, 0.9999999999999991, 506.4697265625, 0.9999999999999991
isomorphic_graphs/20.mtx, 0.36, 23.347336237286022, 2.853702338683779, 1.000000000000013, 504.638671875, 1.000000000000013
isomorphic_graphs/20.mtx, 0.37, 23.251800373479487, 2.723716647804795, 0.9999999999999873, 502.8076171875, 0.9999999999999873
isomorphic_graphs/20.mtx, 0.38, 23.154770591773925, 2.599014802395854, 0.9999999999999953, 500.9765625, 0.9999999999999953
isomorphic_graphs/20.mtx, 0.39, 23.056404007260536, 2.47939240411469, 0.9999999999999974, 499.0234375, 0.9999999999999974
isomorphic_graphs/20.mtx, 0.4, 22.95682971317712, 2.364652938858459, 0.9999999999999991, 497.0703125, 0.9999999999999991
