graph, omega, integrated_populations, integrated_coherences, final_sink_pop, time, t2_population 
isomorphic_graphs/13.mtx, 0.0, 1006.2499999547767, 553.8977822733366, 0.4999999999999799, 1048.828125, 0.9999999999999759
isomorphic_graphs/13.mtx, 0.01, 33.65524140071804, 33.46065625099538, 1.0000000000000007, 1016.2353515625, 1.0000000000000007
isomorphic_graphs/13.mtx, 0.02, 23.587396491880664, 22.163493589503215, 1.0000000000000093, 596.0693359375, 1.0000000000000093
isomorphic_graphs/13.mtx, 0.03, 20.332640507020635, 17.41680927135045, 0.9999999999999895, 469.7265625, 0.9999999999999895
isomorphic_graphs/13.mtx, 0.04, 18.79953704093565, 14.617746010271635, 1.000000000000006, 413.4521484375, 1.000000000000006
isomorphic_graphs/13.mtx, 0.05, 17.958098898830567, 12.68115205605646, 0.9999999999999931, 383.7890625, 0.9999999999999931
isomorphic_graphs/13.mtx, 0.06, 17.463610495273468, 11.224463378229856, 0.9999999999999976, 366.943359375, 0.9999999999999976
isomorphic_graphs/13.mtx, 0.07, 17.168731398088603, 10.071861941693463, 1.0000000000000273, 357.177734375, 1.0000000000000273
isomorphic_graphs/13.mtx, 0.08, 17.000286576626447, 9.132646406788783, 1.0000000000000056, 351.6845703125, 1.0000000000000056
isomorphic_graphs/13.mtx, 0.09, 16.91789833956142, 8.353607205327855, 1.0000000000000053, 348.876953125, 1.0000000000000053
isomorphic_graphs/13.mtx, 0.1, 16.897391757887863, 7.699709255904598, 0.9999999999999829, 347.7783203125, 0.9999999999999829
isomorphic_graphs/13.mtx, 0.11, 16.923270857204425, 7.146714011129675, 1.0000000000000049, 348.14453125, 1.0000000000000049
isomorphic_graphs/13.mtx, 0.12, 16.984988432210017, 6.676191429407904, 0.9999999999999962, 349.365234375, 0.9999999999999962
isomorphic_graphs/13.mtx, 0.13, 17.074966687983764, 6.272173446409454, 0.999999999999969, 351.318359375, 0.999999999999969
isomorphic_graphs/13.mtx, 0.14, 17.187489708776265, 5.9230448347019955, 0.9999999999999926, 353.759765625, 0.9999999999999926
isomorphic_graphs/13.mtx, 0.15, 17.31805703101343, 5.618437272754885, 0.9999999999999913, 356.689453125, 0.9999999999999913
isomorphic_graphs/13.mtx, 0.16, 17.462993267535033, 5.3493822960586845, 1.0000000000000187, 359.9853515625, 1.0000000000000187
isomorphic_graphs/13.mtx, 0.17, 17.61920569218881, 5.108645412436277, 1.0000000000000078, 363.4033203125, 1.0000000000000078
isomorphic_graphs/13.mtx, 0.18, 17.784030165294077, 4.890899674382379, 1.0000000000000047, 367.0654296875, 1.0000000000000047
isomorphic_graphs/13.mtx, 0.19, 17.95513123462262, 4.692055423382359, 1.0000000000000178, 370.9716796875, 1.0000000000000178
