graph,ID,omega,integrated_populations,int_pop_t_normalized,integrated_coherences,int_coh_normalized,final_sink_pop,time,Full,Arrival,t2_population,,simulation_time
isomorphic_graphs/7.mtx,7,0.01,70.7718555139911,0.035385927756996,55.0391894573259,0.027519594728663,0.999999999996616,1765.13671875,T,1.00000000000003,2000,,
isomorphic_graphs/27.mtx,27,0.01,41.814486069983,0.020907243034992,40.3644744435041,0.020182237221752,0.999999999997866,1715.2099609375,T,0.999999999999979,2000,,
isomorphic_graphs/20.mtx,20,0.01,54.0666563649496,0.027033328182475,43.9975796478688,0.021998789823934,0.999999999999102,1679.8095703125,T,1.00000000000002,2000,,
isomorphic_graphs/29.mtx,29,0.01,37.5263014026251,0.018763150701313,36.3828803147767,0.018191440157388,0.999999999999451,1634.6435546875,T,1,2000,,
isomorphic_graphs/28.mtx,28,0.01,29.8661409673695,0.014933070483685,33.2034233030657,0.016601711651533,0.999999999999554,1608.642578125,T,0.999999999999995,2000,,
isomorphic_graphs/11.mtx,11,0.01,50.2117712497563,0.025105885624878,47.0746341076282,0.023537317053814,0.999999999999608,1630.37109375,T,1,2000,,
isomorphic_graphs/23.mtx,23,0.01,45.5067130181207,0.02275335650906,38.0572657245662,0.019028632862283,0.999999999999649,1602.6611328125,T,0.999999999999996,2000,,
isomorphic_graphs/30.mtx,30,0.01,49.4148539212138,0.024707426960607,47.9700812269704,0.023985040613485,0.999999999999795,1594.1162109375,T,0.999999999999991,2000,,
isomorphic_graphs/19.mtx,19,0.01,53.5129670721918,0.026756483536096,50.3378423864893,0.025168921193245,0.999999999999797,1593.3837890625,T,0.999999999999984,2000,,
isomorphic_graphs/31.mtx,31,0.01,44.9144608520562,0.022457230426028,47.3652248654885,0.023682612432744,0.999999999999935,1303.3447265625,T,0.999999999999935,2000,,
isomorphic_graphs/8.mtx,8,0.01,32.5480830118335,0.016274041505917,41.3183871360493,0.020659193568025,0.999999999999979,963.9892578125,T,0.999999999999979,2000,,
isomorphic_graphs/9.mtx,9,0.01,23.3587015813028,0.011679350790651,26.379589127045,0.013189794563523,0.99999999999998,1023.92578125,T,0.99999999999998,2000,,
isomorphic_graphs/17.mtx,17,0.01,19.3617309690717,0.009680865484536,29.7390651570274,0.014869532578514,0.999999999999985,694.091796875,T,0.999999999999985,2000,,
isomorphic_graphs/5.mtx,5,0.01,19.5045403552779,0.009752270177639,31.4779274628304,0.015738963731415,0.999999999999993,1006.34765625,T,0.999999999999993,2000,,
isomorphic_graphs/6.mtx,6,0.01,38.949636683984,0.019474818341992,36.669487233571,0.018334743616786,0.999999999999993,996.58203125,T,0.999999999999993,2000,,
isomorphic_graphs/15.mtx,15,0.01,19.245932029231,0.009622966014616,29.0203564625212,0.014510178231261,0.999999999999994,633.4228515625,T,0.999999999999994,2000,,
isomorphic_graphs/26.mtx,26,0.01,19.931543292345,0.009965771646173,25.4426115255524,0.012721305762776,0.999999999999998,1260.25390625,T,0.999999999999998,2000,,
isomorphic_graphs/4.mtx,4,0.01,23.6897845349325,0.011844892267466,35.8304726240061,0.017915236312003,0.999999999999999,770.8740234375,T,0.999999999999999,2000,,
isomorphic_graphs/10.mtx,10,0.01,22.1102729834102,0.011055136491705,31.6248013308394,0.01581240066542,0.999999999999999,1164.0625,T,1,2000,,
isomorphic_graphs/13.mtx,13,0.01,33.655241400718,0.016827620700359,33.4606562509954,0.016730328125498,1,1016.2353515625,T,1,2000,,
isomorphic_graphs/24.mtx,24,0.01,43.1802957942778,0.021590147897139,40.6031353591415,0.020301567679571,1,1280.2734375,T,1,2000,,
isomorphic_graphs/25.mtx,25,0.01,39.8217369014263,0.019910868450713,47.5001427538024,0.023750071376901,1,1007.6904296875,T,1,2000,,
isomorphic_graphs/1.mtx,1,0.01,25.7014368033464,0.012850718401673,33.0397769490302,0.016519888474515,1.00000000000001,1004.39453125,T,1.00000000000001,2000,,
isomorphic_graphs/12.mtx,12,0.01,9.45504577011423,0.004727522885057,16.3555529770288,0.008177776488514,1.00000000000001,270.8740234375,T,1.00000000000001,2000,,
isomorphic_graphs/14.mtx,14,0.01,23.4901171040052,0.011745058552003,31.6287907527445,0.015814395376372,1.00000000000001,1206.0546875,T,1.00000000000001,2000,,
isomorphic_graphs/18.mtx,18,0.01,16.7686638403564,0.008384331920178,26.0562523460282,0.013028126173014,1.00000000000001,516.4794921875,T,1.00000000000001,2000,,
isomorphic_graphs/22.mtx,22,0.01,43.5797823879951,0.021789891193998,47.2397019088888,0.023619850954444,1.00000000000001,1089.7216796875,T,1.00000000000001,2000,,
isomorphic_graphs/3.mtx,3,0.01,37.4472152147735,0.018723607607387,37.3108986665346,0.018655449333267,1.00000000000002,1062.6220703125,T,1.00000000000002,2000,,
isomorphic_graphs/32.mtx,32,0.01,32.2958048637008,0.01614790243185,40.7561719953666,0.020378085997683,1.00000000000002,1171.0205078125,T,1.00000000000002,2000,,
isomorphic_graphs/16.mtx,16,0.01,19.3929684861191,0.00969648424306,26.9239763726835,0.013461988186342,1.00000000000003,1051.3916015625,T,1.00000000000003,2000,,
isomorphic_graphs/2.mtx,2,0.01,13.000480586398,0.006500240293199,21.7036663727368,0.010851833186368,1.00000000000007,463.2568359375,T,1.00000000000007,2000,,
isomorphic_graphs/21.mtx,21,0.01,28.1904757818426,0.014095237890921,28.0778265537867,0.014038913276893,1.00000000000007,1000.244140625,T,1.00000000000007,2000,,
isomorphic_graphs/7.mtx,7,0.02,46.2291958127972,0.023114597906399,33.4258073368706,0.016712903668435,0.999999999999961,1070.556640625,T,0.999999999999961,2000,,
