graph,ID,set,G,omega,integrated_populations,integrated_coherences,final_sink_pop,time,t2_population
graphs/A1.mtx,A1,A,1,0,1.41666666666657,0.166666666666691,0.999999999999971,52.642822265625,0.999999999999971
graphs/A1.mtx,A1,A,1,0.1,1.47140039447736,0.177514792899449,0.999999999999994,54.99267578125,0.999999999999994
graphs/A1.mtx,A1,A,1,1,1.66666666666684,0,1.00000000000013,68.66455078125,1.00000000000013
graphs/A2.mtx,A2,A,2,0,403.8,201.370462345865,0.799999999999993,287.567138671875,0.999999999999993
graphs/A2.mtx,A2,A,2,0.1,7.4939646030757,1.89629585475227,0.999999999999994,293.548583984375,0.999999999999994
graphs/A2.mtx,A2,A,2,1,5.40000000000002,0,1,182.31201171875,1
graphs/A3.mtx,A3,A,3,0,895.111111111112,447.954385656045,0.555555555555561,787.567138671875,1.00000000000001
graphs/A3.mtx,A3,A,3,0.1,21.7679382664398,5.06922969648186,0.999999999999997,656.43310546875,0.999999999999997
graphs/A3.mtx,A3,A,3,1,14.9999999999999,0,0.999999999999996,434.600830078125,0.999999999999996
graphs/B1.mtx,B1,B,1,0,501.156250000001,249.975695214632,0.75000000000001,76.019287109375,1.00000000000001
graphs/B1.mtx,B1,B,1,0.1,4.14803733843948,1.04627588131037,0.999999999999996,201.080322265625,0.999999999999996
graphs/B1.mtx,B1,B,1,1,2.74999999999992,0,0.999999999999985,97.076416015625,0.999999999999985
graphs/B2.mtx,B2,B,2,0,1001.71875,499.914928319657,0.499999999999998,172.210693359375,0.999999999999997
graphs/B2.mtx,B2,B,2,0.1,13.2569173019045,3.54075841912729,0.999999999999995,421.2646484375,0.999999999999995
graphs/B2.mtx,B2,B,2,1,8.87499999999986,0,0.999999999999985,259.674072265625,0.999999999999985
graphs/B3.mtx,B3,B,3,0,1377.03125,687.913541817546,0.312499999999999,362.457275390625,0.999999999999998
graphs/B3.mtx,B3,B,3,0.1,31.2859059278612,7.95263585753233,1,841.949462890625,1
graphs/B3.mtx,B3,B,3,1,22.9375000000022,0,1.0000000000001,603.912353515625,1.0000000000001
graphs/C1.mtx,C1,C,1,0,801.083333333331,399.74383924534,0.599999999999999,99.18212890625,0.999999999999998
graphs/C1.mtx,C1,C,1,0.1,6.56585365853673,1.6529886421078,1.00000000000003,254.2724609375,1.00000000000003
graphs/C1.mtx,C1,C,1,1,3.79999999999988,0,0.999999999999972,123.779296875,0.999999999999972
graphs/C2.mtx,C2,C,2,0,1274.09090909112,636.338465147064,0.363636363636619,234.7412109375,1.00000000000036
graphs/C2.mtx,C2,C,2,0.1,18.444938900463,4.85093774744966,0.999999999999998,535.369873046875,0.999999999999998
graphs/C2.mtx,C2,C,2,1,12.0909090909129,0,1.00000000000022,334.381103515625,1.00000000000022
graphs/C3.mtx,C3,C,3,0,1566.66666666666,783.886351791888,0.217391304347836,491.729736328125,1.00000000000001
graphs/C3.mtx,C3,C,3,0.1,40.9049508033464,9.95907857938101,0.999999999999997,1048.9501953125,0.999999999999997
graphs/C3.mtx,C3,C,3,1,30.3043478260868,0,0.999999999999993,768.951416015625,0.999999999999993
graphs/D1.mtx,D1,D,1,0,1001.05208333334,499.437963617625,0.499999999999991,121.76513671875,0.999999999999991
graphs/D1.mtx,D1,D,1,0.1,8.61976497916239,2.02000596206867,0.999999999999993,296.20361328125,0.999999999999993
graphs/D1.mtx,D1,D,1,1,4.83333333333335,0,0.999999999999961,149.71923828125,0.999999999999961
graphs/D2.mtx,D2,D,2,0,1429.8482142857,714.034284938228,0.285714285714418,295.95947265625,1.00000000000012
graphs/D2.mtx,D2,D,2,0.1,24.0139075539503,5.80033553344059,0.999999999999996,660.94970703125,0.999999999999996
graphs/D2.mtx,D2,D,2,1,15.2142857142863,0,1.00000000000003,407.40966796875,1.00000000000003
graphs/D3.mtx,D3,D,3,0,1668.00833333334,834.803933721559,0.16666666666667,620.819091796875,1
graphs/D3.mtx,D3,D,3,0.1,52.8699112448587,11.5114383343471,0.999999999999999,1316.5283203125,0.999999999999999
graphs/D3.mtx,D3,D,3,1,37.4999999999997,0,0.99999999999999,931.549072265625,0.99999999999999
